"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 31 14:21:42 UTC 2026","Sun May 31 14:21:43 UTC 2026","467","","com.zenevich.bank.tests.api.tests.FullRegressionTests","","com.zenevich.bank.tests.api.tests.FullRegressionTests","testRegisterUser","TC-001: User Registration - Positive","Register new user with valid data"
"passed","Sun May 31 14:21:41 UTC 2026","Sun May 31 14:21:41 UTC 2026","40","","com.zenevich.bank.tests.api.AccountApiTests","","com.zenevich.bank.tests.api.AccountApiTests","testGetAccountById","Should get specific account by ID",""
"passed","Sun May 31 14:21:41 UTC 2026","Sun May 31 14:21:41 UTC 2026","256","","com.zenevich.bank.tests.api.AccountApiTests","","com.zenevich.bank.tests.api.AccountApiTests","testGetMyAccounts","Should get all accounts for current user",""
"passed","Sun May 31 14:21:43 UTC 2026","Sun May 31 14:21:43 UTC 2026","104","","com.zenevich.bank.tests.api.tests.FullRegressionTests","","com.zenevich.bank.tests.api.tests.FullRegressionTests","testLoginInvalidPassword","TC-004: User Login - Negative (Wrong Password)","Login with invalid password"
"passed","Sun May 31 14:21:42 UTC 2026","Sun May 31 14:21:42 UTC 2026","99","","com.zenevich.bank.tests.api.AuthApiTests","","com.zenevich.bank.tests.api.AuthApiTests","testGetCurrentUser","Should get current user profile","Test that authenticated user can get their profile"
"passed","Sun May 31 14:21:41 UTC 2026","Sun May 31 14:21:41 UTC 2026","385","","com.zenevich.bank.tests.api.advanced.tests.AdvancedApiTests","","com.zenevich.bank.tests.api.advanced.tests.AdvancedApiTests","testRegisterWithBuilder","Should register user with random data","Register user with dynamically generated data using Builder pattern"
"passed","Sun May 31 14:21:43 UTC 2026","Sun May 31 14:21:43 UTC 2026","25","","com.zenevich.bank.tests.api.tests.FullRegressionTests","","com.zenevich.bank.tests.api.tests.FullRegressionTests","testGetProfile","TC-003: Get Profile - Positive","Get user profile with valid token"
"passed","Sun May 31 14:21:43 UTC 2026","Sun May 31 14:21:43 UTC 2026","120","","com.zenevich.bank.tests.api.tests.FullRegressionTests","","com.zenevich.bank.tests.api.tests.FullRegressionTests","testLoginUser","TC-002: User Login - Positive","Login with valid credentials"
"passed","Sun May 31 14:21:38 UTC 2026","Sun May 31 14:21:40 UTC 2026","2606","","com.zenevich.bank.tests.api.AccountApiTests","","com.zenevich.bank.tests.api.AccountApiTests","testCreateAccount","Should create new account successfully","Test that authenticated user can create a new bank account"
"passed","Sun May 31 14:21:41 UTC 2026","Sun May 31 14:21:42 UTC 2026","286","","com.zenevich.bank.tests.api.advanced.tests.AdvancedApiTests","","com.zenevich.bank.tests.api.advanced.tests.AdvancedApiTests","testJsonSchemaValidation","Should match JSON schema","Validate JSON Schema for account response"
"passed","Sun May 31 14:21:42 UTC 2026","Sun May 31 14:21:42 UTC 2026","110","","com.zenevich.bank.tests.api.AuthApiTests","","com.zenevich.bank.tests.api.AuthApiTests","testLoginInvalidPassword","Should fail login with invalid password","Test that login fails with wrong password"
"passed","Sun May 31 14:21:41 UTC 2026","Sun May 31 14:21:41 UTC 2026","41","","com.zenevich.bank.tests.api.AccountApiTests","","com.zenevich.bank.tests.api.AccountApiTests","testCreateUSDAccount","Should create USD account",""
"passed","Sun May 31 14:21:42 UTC 2026","Sun May 31 14:21:42 UTC 2026","261","","com.zenevich.bank.tests.api.advanced.tests.AdvancedApiTests","","com.zenevich.bank.tests.api.advanced.tests.AdvancedApiTests","testFullApiFlow","Complete API flow should work correctly","End-to-end flow: register → login → create account → verify"
"passed","Sun May 31 14:21:41 UTC 2026","Sun May 31 14:21:41 UTC 2026","22","","com.zenevich.bank.tests.api.advanced.tests.AdvancedApiTests","","com.zenevich.bank.tests.api.advanced.tests.AdvancedApiTests","testResponseTime","Should respond within 2000ms","Test response time - API performance check"
"passed","Sun May 31 14:21:42 UTC 2026","Sun May 31 14:21:42 UTC 2026","114","","com.zenevich.bank.tests.api.AuthApiTests","","com.zenevich.bank.tests.api.AuthApiTests","testLoginSuccess","Should login successfully with valid credentials","Test that user can login and receive JWT token"
